title,company,location,salary,job_type,description,posted_date
Backoffice Representative,Not mentioned,Ghaziabad - Shalimar Garden,"15,000 - 17,000",Full Time Jobs,Office Assistant/Helper - Front desk,"25 Apr 2025, 06:55 PM"
URGENT REQUIREMENT FOR FRESHERS AND EXPERIENCED CANDIDATES IN AVAILABLE,Not mentioned,"Chennai - Villivakkam, Velachery, Vadapalani, Vysarpadi + 1 more","18,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 05:04 PM"
Shope keeper... Urjent requaire,Not mentioned,"Kochi - Edapally, Kalamassery, Aluva","13,000 - 15,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 04:50 PM"
OFFICE WORK DONE FOR PART TIME OR FULL TIME,Not mentioned,Chennai - Chepauk,"25,000 - 36,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 04:44 PM"
Office Assistant - Passport Sewa Kendra - Undertaking,Not mentioned,Shillong - Full City,"13,795 - 14,545",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry Boy, Inventory Incharge, Front desk","25 Apr 2025, 11:58 AM"
IT courses counsellor,Testbug Solutions,Hyderabad - Ameerpet,"10,000 - 11,000",Full Time Jobs,Office Assistant/Helper - Front-desk,"25 Apr 2025, 10:32 AM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - Ambattur,"25,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 10:23 AM"
OFFICE ASSISTANT EXECUTIVE,Not mentioned,Salem - Vanavasi,"18,000 - 24,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","25 Apr 2025, 10:09 AM"
BACK OFFICE EXECUTIVE,Not mentioned,Thanjavur - Oothukkadu,"25,000 - 30,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 08:58 AM"
WANTED OFFICE ASSISTANT / HELPER,Not mentioned,Chennai - Mannur,"15,000 - 40,000",Full Time Jobs,Office Assistant/Helper,"25 Apr 2025, 06:41 AM"
OFFICE WORK ONLY,Not mentioned,Chennai - Saidapet,"25,000 - 40,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Pantry Boy","24 Apr 2025, 02:36 PM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Chennai - Lakshmipuram,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 01:17 PM"
