title,company,location,salary,job_type,description,posted_date
Want Diliver Associate,Not mentioned,Pune - Undri,"24,000 - 30,000",Full Time Jobs,Delivery/Collections - Food Delivery,"28 Apr 2025, 08:52 PM"
WANTED 10TH TO ANY DEGREE CANDIDATE'S (PASS/ FAIL),Not mentioned,"Guntur - Vinukonda, Venkatarama, Vidhyanagar, Yanamadala + 1 more","19,000 - 35,000",Part Time Jobs,"Delivery/Collections - Courier Delivery, Food Delivery, Grocery Delivery, Others","28 Apr 2025, 03:38 PM"
DELIVERY COLLECTION EXECUTIVE FRESHER,Not mentioned,Chennai - Redhills,"15,000 - 25,000",Full Time Jobs,Delivery/Collections,"28 Apr 2025, 12:50 PM"
DELIVERY PERSON,MAHAPOST PVT LTD,"Bhopal - Navbahar Colony, East Railway Colony, Railway Station Road, Peer Gate Area + 1 more","15,000 - 20,000",Part Time Jobs,"Delivery/Collections - Courier-Delivery, Courier/Packet-Collection","28 Apr 2025, 10:49 AM"
Delivery Boy Biker,Blinkit,Ghaziabad - Indrapuram,"18,000 - 25,000",Part Time Jobs,"Delivery/Collections - Grocery-Delivery, Other-Delivery/Collection","28 Apr 2025, 10:19 AM"
Filed collection,Not mentioned,"Delhi - Bawana, Budh Vihar, Jain Nagar","30,000 - 31,000",Full Time Jobs,Delivery/Collections,"27 Apr 2025, 09:48 PM"
courier delivery Executive job vacancy in Blue dart courier services,Not mentioned,"Chennai - Avadi, Poonamallee, Kilkattalai, Pallikaranai + 1 more","20,000 - 25,000",Full Time Jobs,Delivery/Collections - Courier Delivery,"27 Apr 2025, 09:23 PM"
Delivery executive,Not mentioned,Bangalore - RajajiNagar,"12,000 - 15,000",Full Time Jobs,Delivery/Collections - Courier Delivery,"27 Apr 2025, 03:19 PM"
Dilivery boy,Not mentioned,"Jaipur - Mansarovar, Sanganer","25,000 - 30,000",Full Time Jobs,Delivery/Collections,"26 Apr 2025, 03:30 PM"
delivery associate,Not mentioned,"Coimbatore - Kuniyamuthur, Saravanampatty, Pannimadai, Perur","15,000 - 45,000",Full Time Jobs,Delivery/Collections - Courier Delivery,"25 Apr 2025, 09:25 PM"
Grocery Delivery,Bigbasket,"Guwahati - Christian Basti, Hengrabari, Ganeshguri, Hatigaon + 1 more","22,000 - 23,000",Part Time Jobs,Delivery/Collections - Grocery-Delivery,"25 Apr 2025, 04:38 PM"
Grocery delivery boy,Not mentioned,Hyderabad - Jubilee Hills,"40,000 - 40,000",Part Time Jobs,Delivery/Collections - Grocery Delivery,"25 Apr 2025, 02:35 PM"
Delivery Partner in Zepto,Zepto,"Hyderabad - Chanda Nagar, Kondapur, HITEC City, Kothaguda + 1 more","25,000 - 40,000",Full Time Jobs,Delivery/Collections - Grocery-Delivery,"25 Apr 2025, 02:34 PM"
WANTED DELIVERY COLLECTION,Not mentioned,Chennai - Anna Nagar,"53,000 - 60,000",Full Time Jobs,Delivery/Collections,"25 Apr 2025, 12:54 PM"
Need Delivery boy in karnal,Flipkart,Karnal - Railway Road,"20,000 - 25,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"25 Apr 2025, 10:47 AM"
Delivery boy biker,Not mentioned,Patna - Lalji Tola,"25,000 - 35,000",Full Time Jobs,Delivery/Collections,"24 Apr 2025, 08:03 PM"
Medicines Delivery,Not mentioned,"Delhi - Karkardooma, Vivek Vihar, Surajmal Vihar","8,000 - 8,500",Full Time Jobs,Delivery/Collections,"24 Apr 2025, 03:46 PM"
Aavin milk delivery job,Not mentioned,Coimbatore - Ramanathapuram,"4,000 - 4,500",Full Time Jobs,Delivery/Collections,"24 Apr 2025, 10:40 AM"
Delhivery boy,Not mentioned,"Bhubaneswar - BJB Nagar, Laxmi Sagar, Dhauli, Tankapani Road + 1 more","20,000 - 25,000",Full Time Jobs,Delivery/Collections,"24 Apr 2025, 10:09 AM"
91EV Is Urgently Hiring For Delivery Driver,NINEONE EV PVT LTD,"Hyderabad - Gachibowli, Narsingi, Khajaguda, Nallagandla + 1 more","24,000 - 27,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","23 Apr 2025, 01:01 PM"
BANK COLLECTION EXECUTIVE,SSA,"Chennai - New Perungalathur, Koyambedu, Royapuram, Ambattur + 1 more","12,000 - 17,000",Full Time Jobs,Delivery/Collections - Recovery-Collection,"23 Apr 2025, 06:57 AM"
Delivery boy in amazon,Not mentioned,"Lucknow - Alambagh, Vrindavan Yojana, Nilmatha, Lucknow Cantonment","15,000 - 20,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 02:09 PM"
WANTED DELIVERY COLLECTION,Not mentioned,Coimbatore - Athipalayam,"25,000 - 40,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 12:10 PM"
WANTED DELIVERY/COLLECTIONS,Not mentioned,Chennai - Arumbakkam,"20,000 - 40,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 09:37 AM"
Nee Delivery boys imme,Not mentioned,"Hyderabad - Nizampet, Pragathi Nagar-Kukatpally","25,000 - 35,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 09:20 AM"
Wanted Delivery boys imm,Not mentioned,"Hyderabad - Nizampet, Pragathi Nagar-Kukatpally","25,000 - 35,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 01:58 AM"
Wanted Delivery boys imm,Not mentioned,"Hyderabad - Nizampet, Pragathi Nagar-Kukatpally","25,000 - 35,000",Full Time Jobs,Delivery/Collections,"22 Apr 2025, 01:56 AM"
