title,company,location,salary,job_type,description,posted_date
Urgent Hiring for Debt Recovery Agent,YG Connect Pvt Ltd,"Bangalore - Bapuji Nagar, Binnipete, Kamala Nagar, Yeshwanthpur + 1 more","14,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","28 Apr 2025, 01:49 PM"
JoBox is Hiring For International Voice Process,JoBox Hire,"Chennai - Thiruvanmiyur, Avvai Nagar-Thiruvanmiyur, Anna Nagar, Besant Nagar + 1 more","35,000 - 40,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","28 Apr 2025, 10:55 AM"
Urgent Hiring Tele caller Executives For Real Estate Business,Khed Logistics Park India LLP,"Pune - Hadapsar, Swargate, Deccan, Shivaji Nagar + 1 more","12,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 1 more","27 Apr 2025, 10:19 AM"
WALK IN - FRESHERS & EXPERIENCED TELECALLERS - FIXED SAL 14K-18K - HEALTH INSURANCE PROCESS BPO AT TEMPLE TOWERS MOUNT ROAD NANDANAM,CARE INSURANCE BPO CALL CENTER,"Chennai - T Nagar, Tambaram, Nungambakkam, Kodambakkam + 1 more","14,000 - 18,000",Full Time Jobs,BPO/ Telecaller,"27 Apr 2025, 12:44 AM"
100 TELECALLERS WANTED FOR STAR HEALTH INSURANCE - FRESHERS & EXPERIENCED WELCOME - WALKIN FOR IMMEDIATE JOINING,STAR INSURANCE BPO CALL CENTER,Chennai - Full City,"14,000 - 18,000",Full Time Jobs,BPO/ Telecaller,"27 Apr 2025, 12:42 AM"
Telecaller Executive,Alnik Marketing Technologies Private Limited,"Bangalore - Binnamangala, Indira Nagar","10,000 - 15,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","26 Apr 2025, 04:50 PM"
Tele Counsellor- Domestic,Altis Techno Solutions,Gurgaon - Sector 18,"15,000 - 19,000",Full Time Jobs,BPO/ Telecaller,"26 Apr 2025, 10:58 AM"
Sales Representative,Dhani Properties,"Bangalore - Yelahanaka, Hebbal, Vidyaranyapura, RT Nagar + 1 more","25,000 - 35,000",Full Time Jobs,BPO/ Telecaller,"25 Apr 2025, 01:08 PM"
URGENT REQUIREMENT FOR SALES EXECUTIVE ...,Not mentioned,"Bangalore - Bharat Nagar, HBR Layout, Hegde Nagar, Hormavu + 1 more","20,000 - 30,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","12 Apr 2025, 02:59 PM"
Tele Caller,Quikr,"Bangalore - Shivaji Nagar, Hebbal, Veerannapalya, Thanisandra + 1 more","22,000 - 28,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","12 Apr 2025, 02:58 PM"
WANTED TELLECALLERS REQUIREMENT ALL OVER CITY,company,"Hyderabad - Dilsukh Nagar, Ameerpet, Kukatpally, LB Nagar + 1 more","15,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","12 Apr 2025, 02:58 PM"
urgent requirement for tele callers,Quikr,"Bangalore - 7th Block, A Dasarahalli, AGS Layout, Abbigere + 1 more","25,000 - 26,000",Full Time Jobs,BPO/ Telecaller - Sales,"12 Apr 2025, 02:58 PM"
Urgent Hiring For Female Tele Callers In Bangalore With Attractive Salary,Quikr India Pvt Ltd,"Bangalore - Vijaya Nagar, Mysore Road, Nagarbhavi Circle, Banashankari + 1 more","13,000 - 17,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 3 more","12 Apr 2025, 02:58 PM"
URGENT HIRING FOR EXPERIENCED TELECALLERS WITH BEST SALARY AND ATTRACTIVE INCENTIVES,QUIKR INDIA PVT. LTD.,"Bangalore - Yelahanaka, Hebbal, Malleshwaram, HBR Layout + 1 more","16,000 - 28,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 3 more","12 Apr 2025, 02:58 PM"
Inside Sales For used car Salary 25k to 30 k,abc,Bangalore - Jayanagar,"25,000 - 30,000",Full Time Jobs,BPO/ Telecaller - Sales,"12 Apr 2025, 02:57 PM"
Urgent Hirirng for Bpo telecaller,Not mentioned,"Delhi - AIIMS, Adarsh Nagar, Alaknanda, Aliganj + 1 more","15,000 - 20,000",Full Time Jobs,BPO/ Telecaller,"28 Mar 2025, 03:13 PM"
Urgent hiring for Bpo telecaller,Quikr India Pvt Ltd,"Delhi - Okhla Industrial Area, Govindpuri, Jasola, Badarpur + 1 more","15,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","22 Mar 2025, 10:36 AM"
"Urgent hiring, Quikr is hiring for Inside Sales Specialist Salary is upto 30000",Not mentioned,"Bangalore - Thanisandra Main Road, Yeshwanthpur, HBR Layout, Nagavara + 1 more","25,000 - 30,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","19 Mar 2025, 04:34 PM"
Urgent Hiring Female Bpo Telecaller In Ludhiana,N.A,"Ludhiana - Civil Lines, Garcha, Mohar Singh Nagar, Sudhar","15,000 - 20,000",Full Time Jobs,BPO/ Telecaller,"08 Mar 2025, 06:04 PM"
Required candidate in Delhi city for BPO Telecaller role. Salary 15k,Not mentioned,"Delhi - Laxmi Nagar, Shakarpur, Mandawali, Vinod Nagar + 1 more","10,000 - 11,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","08 Mar 2025, 06:04 PM"
telecaller and inside sales,Not mentioned,"Noida - Sector-63, Sector 100, Noida Extension","15,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, AR-Telecaller/-Medical-Billing","08 Mar 2025, 06:04 PM"
Urgent hiring for Tele- Sales with Attractive salary in the industry + incentitive,Quikr.Com,"Bangalore - RT Nagar, Frazer Town, Lingaraja Puram, Nagavara + 1 more","30,000 - 31,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","10 Feb 2025, 12:39 PM"
CUSTOMER EXECUTIVE,Not mentioned,Kanchipuram - Adampakkam,"18,000 - 25,000",Full Time Jobs,BPO/ Telecaller,"03 Dec 2024, 02:01 PM"
urgent hiring for telecallers || freshers can also apply,Not mentioned,"Chennai - Anna Nagar, Aminjikarai, Koyambedu, Nungambakkam + 1 more","10,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","29 Oct 2024, 11:39 AM"
Urgently required a BPO telecaller for Bangalore,Not mentioned,"Bangalore - Thanisandra, MG Road, Banasavadi, Indira Nagar + 1 more","20,000 - 30,000",Full Time Jobs,"BPO/ Telecaller - Outgoing, Voice, Sales","07 Oct 2024, 09:27 AM"
Looking for Customer support executive for Quikr jobs.,Quikr Jobs,"Bangalore - Manyata Tech Park, Hebbal, Amrutahalli, Sahakara Nagar + 1 more","18,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice","16 Sep 2024, 06:46 PM"
QUIKRJOBS IS LOOKING FOR PASSIONATE INSIDE SALES EXECUTIVES FOR ENTERPRISE SALES,QUIKRJOBS,"Bangalore - Yelahanaka, Hebbal, Hegde Nagar, RT Nagar + 1 more","20,000 - 25,000",Full Time Jobs,"BPO/ Telecaller - Domestic, Voice, Sales, Non-Technical","09 Sep 2024, 12:33 PM"
Hiring for BPO Voice process Qualifications 12th Languages English and kannada,Tech Mahindra India Pvt Ltd,"Chennai - AGS Colony, Abiramapuram, Adhanur, Alathur + 1 more","20,000 - 21,000",Full Time Jobs,BPO/ Telecaller,"10 Aug 2024, 12:45 AM"
Hiring BPO Telecaller || Salary upto 18000 + Good Incentive || Delhi NCR,quikr.com,"Delhi - AIIMS, Adarsh Nagar, Abul Fazal Enclave, Agar Nagar + 1 more","16,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 4 more","09 Aug 2024, 01:09 PM"
Hiring telecaller || Salary Upto-18000 || Location- Janakpuri || Freshers Also Can Apply || Loan Process ||,Not mentioned,"Delhi - Janakpuri, Pitampura, Lajpat Nagar, Uttam Nagar + 1 more","12,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","09 Aug 2024, 01:08 PM"
"Hiring Blended Process, Customer Service, Customer Support, Semi Voice, Qualification Any Undergraduate Graduate Postgraduate Number of Vacancies 10",Alorica,"Hyderabad - APIIC Colony, APHB Colony-Laxmiguda, AV Nagar-Hastinapuram, Abhilekhagaram + 1 more","25,000 - 30,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, International, Voice + 1 more","09 Aug 2024, 01:08 PM"
URGENTLY REQUIRED BPO TELECALLER IN MUMBAI CITY IMMEDIATE JOINER CAN APPLY,quikr.com,Mumbai - Full City,"12,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","17 Jul 2024, 12:46 PM"
Telecaller executive,Not mentioned,"Delhi - Badarpur, Jasola, Saket, Pul Pahladpur + 1 more","10,000 - 12,000",Full Time Jobs,BPO/ Telecaller,"17 Jul 2024, 12:45 PM"
Urgent requirements for BPO Telecaller,Not mentioned,"Bangalore - Banasavadi, Hebbal, RT Nagar, Shivaji Nagar + 1 more","20,000 - 25,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 7 more","14 May 2024, 11:23 AM"
BPO Telecaller needed urgently.,Quikr,"Bangalore - Thanisandra, Nagavara, Manyata Tech Park","15,000 - 16,000",Full Time Jobs,BPO/ Telecaller - Domestic,"14 May 2024, 11:23 AM"
Requirement For Telecaller,Not mentioned,"Thane - Wagle Estate, Kalyan Shilphata Road, Naupada, Diwa + 1 more","12,000 - 25,000",Full Time Jobs,BPO/ Telecaller,"14 May 2024, 11:23 AM"
Need candidate for BPO tele caller salary package 10k to 20k,Not mentioned,"Ranchi - Adalhatu, Ahirtoli, Argora","10,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","14 May 2024, 11:23 AM"
BPO -Tele caller,Not mentioned,"Mohali - Aerocity, Airport Road, Mohan Nagar, Dhakoli + 1 more","10,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, International + 9 more","14 May 2024, 11:22 AM"
Best employee,Not mentioned,"Anantapur - Kamalanagar, Adimurthy Nagar, Aravinda Nagar, Bellary Road + 1 more","12,000 - 13,000",Full Time Jobs,Not mentioned,"03 May 2025, 09:30 PM"
Telemarketing executive,MUSKRAM,Delhi - Sultanpuri,"5,000 - 15,000",Full Time Jobs,Not mentioned,"03 May 2025, 08:44 PM"
Customer Support Executive,Liscom Solutions And Services Pvt Ltd,Kochi - Kalamassery,"9,000 - 10,000",Full Time Jobs,Not mentioned,"03 May 2025, 08:28 PM"
Need Female Candidates for the Post of BPO Telecaller,M N systems,"Coimbatore - Gandhipuram, Saravanampatti, Mettupalayam Road","18,000 - 36,000",Full Time Jobs,Not mentioned,"03 May 2025, 08:27 PM"
Business Development Associate,PLANETSPARK,"Gurgaon - Sector-36, Sector-37 A, Sector-37 D, Sector 92 + 1 more","32,000 - 38,000",Full Time Jobs,Not mentioned,"03 May 2025, 06:43 PM"
Telesales executive,Fintech Company,Gurgaon - Sector 44,"12,000 - 20,000",Full Time Jobs,Not mentioned,"03 May 2025, 06:42 PM"
Customer Care,Not mentioned,Greaternoida - Greater Noida Extention West,"16,000 - 17,000",Full Time Jobs,Not mentioned,"03 May 2025, 06:03 PM"
aqua Technician,Shinemax,Guntur - Cherukupalli,"30,000 - 31,000",Full Time Jobs,Not mentioned,"03 May 2025, 05:26 PM"
International Customer Support Analyst,Not mentioned,"Chandigarh - Industrial Area Phase I, Panchkula, Industrial Area Phase II","20,000 - 35,000",Full Time Jobs,Not mentioned,"03 May 2025, 05:07 PM"
Tele caller,Spark Inframark Pvt.Ltd,Vadodara - Vasana-Bhayli Road,"12,000 - 20,000",Full Time Jobs,Not mentioned,"03 May 2025, 05:04 PM"
Hiring Female Telecallers Work from Home Full-Time,Daniel,"Chennai - Ambattur, Tambaram, Velachery, Periyamet + 1 more","8,000 - 15,000",Full Time Jobs,Not mentioned,"03 May 2025, 05:02 PM"
