title,company,location,salary,job_type,description,posted_date
"Full-time, food shelter",Not mentioned,Rayachoti - S.N Colony,"15,000 - 20,000",Full Time Jobs,Driver,"27 Nov 2024, 02:49 PM"
URGENTLY HIRING FOR DRIVER IN ABROAD,abroad wayy immigration,Canada,"70,000 - 80,000",Work Abroad,Driver,"21 Nov 2024, 02:03 PM"
Driver for tata ace,Not mentioned,"Bangalore - Banashankari 2nd Stage, Uttarahalli Main Road, Padmanabhanagar","8,000 - 8,500",Full Time Jobs,Driver,"11 Nov 2024, 09:56 AM"
Company Driver,Krishna Rajaram Ashtekar Jewellers (KRA),"Pune - Tilak Road, Magarpatta","18,500 - 22,000",Full Time Jobs,"Driver - Company-driver, Private-Driver","08 Nov 2024, 10:06 AM"
Car Driver,Not mentioned,Hyderabad - Moosapet,"18,000 - 23,000",Full Time Jobs,"Driver - Company driver, Private Driver","03 May 2025, 04:12 PM"
Wanted Cab Driver for BluSmart EV in Delhi,BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Bank Enclave, Budella, Chaukhandi, Dasghara + 2 more","25,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","03 May 2025, 03:10 PM"
Drive Electric with BluSmart Secure Your Job Now In Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Devanahalli, Katamnallur, Dabaspete, Jigani + 1 more","25,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","03 May 2025, 11:02 AM"
Experienced Car driver required,Not mentioned,"Bangalore - Vijaya Nagar, Nagarbhavi Circle, Hampi Nagar, Mallathahalli","20,000 - 22,000",Full Time Jobs,Driver,"03 May 2025, 10:13 AM"
Limited Vacancies for Cab Drivers at Everest Fleet,Everest Fleet Pvt.Ltd,"Delhi - Sewa Nagar, Nehru Nagar, Prem Nagar, Gandhi Nagar + 1 more","25,000 - 30,000",Full Time Jobs,"Driver - Truck-driver, Taxi-driver, Taxi/Cab","02 May 2025, 07:20 PM"
service centre driver required in chennai.,Not mentioned,Chennai - Ambattur,"20,000 - 45,000",Full Time Jobs,Driver - Company driver,"02 May 2025, 05:40 PM"
"Taxi driver required to drive Red taxi, ola , rapido with attractive salary",Not mentioned,Chennai - Kolapakkam,"25,000 - 30,000",Full Time Jobs,Driver - Taxi driver,"02 May 2025, 05:36 PM"
Wanted Driver for IT companies,Not mentioned,"Chennai - Madipakkam, Velachery, Nangainallur, Pallikaranai + 1 more","25,000 - 30,000",Full Time Jobs,Driver,"02 May 2025, 02:56 PM"
Drivers wanted for a Senior Advocate Office in Chennai Mogappair,Not mentioned,"Chennai - Ambattur, Poonamallee, Porur, Mogappair West","15,000 - 18,000",Full Time Jobs,Driver - Private Driver,"02 May 2025, 02:51 PM"
Immediate hiring for driversBadge Compulsory,Not mentioned,"Bangalore - Malleswaram West, Hebbal, Yelahanka, Hennur","15,400 - 32,000",Full Time Jobs,Driver,"02 May 2025, 12:39 PM"
Driver wanted,Not mentioned,Coimbatore - Ramanathapuram,"15,000 - 16,000",Full Time Jobs,Driver,"02 May 2025, 11:06 AM"
Commercial Driver,SR Beverages,"Hyderabad - Malkajgiri, Durga Nagar-Malkajgiri","15,000 - 18,000",Full Time Jobs,"Driver - Company-driver, Commercial-Transport-Driver","02 May 2025, 10:36 AM"
Chauffeur Driver,Elitebutlers,Mumbai - Tardeo,"25,000 - 35,000",Full Time Jobs,"Driver - Company-driver, Private-Driver","02 May 2025, 10:35 AM"
WANTED DRIVER,Not mentioned,Chennai - Thirumullaivoyal,"53,000 - 60,000",Full Time Jobs,Driver,"02 May 2025, 10:35 AM"
WANTED DRIVER,Not mentioned,Chennai - Alwarpet,"52,000 - 60,000",Full Time Jobs,Driver,"02 May 2025, 10:29 AM"
