title,company,location,salary,job_type,description,posted_date
Business Development Executive for selling ophthalmology products in Delhi,Not mentioned,"Delhi - AIIMS, Preet Vihar, Karol Bagh, Vasant Kunj + 1 more","25,000 - 40,000",Full Time Jobs,Sales,"25 Apr 2025, 10:20 AM"
Field Sales Executive in Chennai for a reputed E commerce company,For a reputed Private company,Chennai - Full City,"20,000 - 20,000",Full Time Jobs,Sales,"25 Apr 2025, 10:20 AM"
URGENT HIRING FOR FIELD SALES EXECUTIVE IN NAGARABHAVI,FenTech Windows And Doors,"Bangalore - Nagarabhavi, Magadi Road, Vijaya Nagar, Mysore Road + 1 more","15,000 - 18,000",Full Time Jobs,"Sales - Consumer Durables, Solar-System-Sales, Construction-equipments, Plywood-Sales + 6 more","03 May 2025, 09:43 PM"
"Immediately looking for Sales || Salary upto 20000 || Branches at Malleswaram, Marathahalli, Kamanahalli, Brookefield",Laptop Store,Bangalore,"12,000 - 20,000",Full Time Jobs,"Sales - Industrial-Sales, Insurance, Retail, Laptop/Mobile + 1 more","03 May 2025, 08:57 PM"
URGENT HIRING Sales Executive - Marketing Sales and Marketing,Nippen Electrical Instruments Co.,Chennai,"40,000 - 50,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","02 May 2025, 06:05 PM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Delhi,"28,000 - 50,000",Full Time Jobs,Sales,"02 May 2025, 03:51 PM"
Sales Executive,Namishree Group,Hyderabad,"25,000 - 70,000",Full Time Jobs,"Sales - Manufacturing, B2B-sales, Cement/-Concrete-Sales","02 May 2025, 01:51 PM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Guwahati,"28,000 - 50,000",Full Time Jobs,Sales,"02 May 2025, 10:55 AM"
Relationship Manager,Kalyani motors,Bangalore,"16,000 - 20,000",Full Time Jobs,Sales - FMCG,"01 May 2025, 05:43 PM"
Require Marketing Executive in Packaging Company,Amartara Pvt Ltd,Mumbai,"25,000 - 30,000",Full Time Jobs,Sales - Manufacturing,"01 May 2025, 02:38 PM"
Loan Sales Executive Commercial Vehicles,Evate Technologies,Bangalore,"12,000 - 13,000",Full Time Jobs,Sales - Banking-&-Financial-Services,"01 May 2025, 02:15 AM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Mumbai,"28,000 - 50,000",Full Time Jobs,Sales,"01 May 2025, 12:35 AM"
Bussiness Developement Managers || Anandbagh || Upto 30k ||,S S FINANCIAL MANAGEMENT CONSULTANCY PVT LTD,Hyderabad,"15,000 - 30,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","30 Apr 2025, 06:38 PM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Bangalore,"28,000 - 50,000",Full Time Jobs,Sales,"30 Apr 2025, 01:06 PM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Chennai,"28,000 - 50,000",Full Time Jobs,Sales,"30 Apr 2025, 12:55 AM"
Hiring for Sales Officers - Hyderabad,Ninjacart,Hyderabad,"25,000 - 30,000",Full Time Jobs,"Sales - FMCG, Food-and-Beverage-Sales, B2B-sales, E-Commerce","29 Apr 2025, 06:27 PM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Hyderabad,"28,000 - 50,000",Full Time Jobs,Sales,"29 Apr 2025, 02:42 PM"
Urgent Hiring For Sale Exucutive,Khed Logistics Park India LLP,Pune,"12,000 - 25,000",Full Time Jobs,Sales,"28 Apr 2025, 04:10 PM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Srinagar,"28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 11:23 AM"
Business Development Associate || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Hyderabad,"28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 11:20 AM"
SALES EXECUTIVE || IMMEDIATE HIRING || SALARY UPTO 50000,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,Madurai,"28,000 - 50,000",Full Time Jobs,Sales,"28 Apr 2025, 10:43 AM"
Customer executive Support,Dhani properties,Bangalore,"18,000 - 25,000",Full Time Jobs,"Sales - Real-estate, Banking-&-Financial-Services, Telecom","28 Apr 2025, 10:40 AM"
JoBox is hiring for Customer Relationship Manager CREM,JoBox Hire,Chennai,"30,000 - 40,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","27 Apr 2025, 06:26 AM"
Vibez Estate is hring for Inside Sales Specialist,VIBEZ ESTATES,Bangalore,"22,000 - 32,000",Full Time Jobs,"Sales - Real-estate, IT, ED-Tech-Sales, B2B-sales + 3 more","26 Apr 2025, 04:26 PM"
JoBox is hiring for Business Development Executive BDE Branch Banking,JoBox Hire,Chennai,"30,000 - 40,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","26 Apr 2025, 11:06 AM"
person should take care the store n sales,Not mentioned,Bangalore,"13,000 - 16,000",Full Time Jobs,Sales - Retail,"24 Apr 2025, 12:11 PM"
Field Assistant Trainee,BHARAT FINANCIAL INCLUSION LTD.,Shamli,"10,000 - 15,000",Full Time Jobs,Sales,"24 Apr 2025, 11:50 AM"
Sales Executive Required,Dr. Karthi Chit India Pvt Ltd,Gobichettipalayam,"15,000 - 20,000",Full Time Jobs,Sales,"18 Apr 2025, 04:43 PM"
IMMEDIATE HIRING FOR EXPERIENCED SALES & MARKETING CANDIDATES WITH ATTRACTIVE SALARY,QUIKR INDIA PVT. LTD.,"Bangalore - Yelahanaka, Nagavara, Vijaya Nagar, Malleshwaram + 1 more","20,000 - 30,000",Full Time Jobs,"Sales - Real-estate, Construction-equipments, Manufacturing, B2B-sales + 5 more","12 Apr 2025, 02:58 PM"
IMMEDIATE HIRING FOR B2B SALES FOR QUIKR,QUIKR INDIA PVT LTD,"Bangalore - Nagavara, Thanisandra, Hebbal, Yelahanka + 1 more","25,000 - 35,000",Full Time Jobs,Sales - B2B-sales,"12 Apr 2025, 02:58 PM"
Immediately looking for Telesales Executive || Salarty upto 25k,Quikr India Pvt Ltd,"Bangalore - Hebbal, Yelahanka, Hennur, Jalahalli + 1 more","20,000 - 25,000",Full Time Jobs,"Sales - B2B-sales, E-Commerce","12 Apr 2025, 02:57 PM"
Hiring Sales Executive || Salary upto -25000 || Location- Delhi NCR ||,Not mentioned,"Delhi - Pitampura, Rohini, Paschim Vihar, Janakpuri + 1 more","15,000 - 25,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","08 Mar 2025, 06:04 PM"
Urgent hiring for sale executive,Quikr,"Bangalore - Govindapura, Kaval Bairasandra, Bammanahalli-Devanahalli, RT Nagar + 1 more","20,000 - 40,000",Full Time Jobs,Sales,"08 Mar 2025, 06:04 PM"
Urgent Hiring for Key Account Manager- Field Sales - With Attractive salary + Incentive,Quikr.Com,"Bangalore - Lingaraja Puram, RT Nagar, KR Puram, Hennur Main Road + 1 more","35,000 - 45,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","10 Feb 2025, 12:39 PM"
Counter Sales Staff Jewelry Showroom Across Hyderabad,Not mentioned,"Hyderabad - Bowenpally, Chintal, Malkajgiri, Kukatpally","12,000 - 13,000",Full Time Jobs,Sales,"05 Dec 2024, 10:30 AM"
Immediately looking for a sales executive in and around Bangalore salary upto 25000.,Not mentioned,"Bangalore - AMS Layout, Ashok Nagar, BTM Layout 2nd Stage, Bellandur + 1 more","25,000 - 30,000",Full Time Jobs,Sales - ED-Tech-Sales,"07 Oct 2024, 09:26 AM"
QuikrJobs is hiring for Field and Inside Sales Executives for Corporate Sales,QUIKRJOBS,"Mumbai - Andheri Kurla Road, Sakinaka, Chandivali, Rambaug + 1 more","20,000 - 35,000",Full Time Jobs,Sales,"09 Sep 2024, 12:33 PM"
QuikrJobs is hiring for Inside Sales Executives,Quikr India Pvt Ltd,"Bangalore - RT Nagar, HRBR Layout, Yelahanaka, KR Puram + 1 more","20,000 - 30,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","09 Sep 2024, 12:33 PM"
Wanted sales executive for our company,Not mentioned,"Chennai - Egmore, Kilpauk, Anna Nagar, Maduravoyal + 1 more","10,000 - 22,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","22 Aug 2024, 12:37 PM"
We are looking for sales representative || salary up to - 28000 || location - Noida || Bike & license,quikr.com,"Noida - Atta, Salarpur, Khora Colony, Mamura + 1 more","27,000 - 28,000",Full Time Jobs,"Sales - Health, Real-estate, FMCG, Consumer Durables + 5 more","10 Aug 2024, 12:14 PM"
Hiring Sales Executive || Salary upto -34000 || Location- Delhi NCR || Bike &Laptop- Must ||,Not mentioned,"Delhi - Uttam Nagar, Rohini, Sarita Vihar, Patel Nagar + 1 more","20,000 - 34,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","09 Aug 2024, 01:08 PM"
Hiring for BPO Voice process Qualifications 12th Languages English and kannada,quikr,"Bangalore - Malleshwaram, Yeshwanthpur, Gayathrinagar, Shrirampuram + 1 more","25,000 - 35,000",Full Time Jobs,"Sales - Banking-&-Financial-Services, B2B-sales","09 Aug 2024, 01:07 PM"
10 Sales Executive required on Urgent Basis,Not mentioned,"Delhi - Abul Fazal Enclave, Mehrauli - Badarpur Road, Badarpur, Lal Kot + 1 more","10,000 - 15,000",Full Time Jobs,Sales,"17 Jul 2024, 12:46 PM"
Urgent hiring for sales executive || Sal upto 22K,Not mentioned,"Kolkata - 4 No. Bridge, AK Mukherjee Road, Baguiati, Dum Dum + 1 more","17,000 - 22,000",Full Time Jobs,"Sales - Others, B2B-sales","14 May 2024, 11:55 AM"
urgent hiring || tele sales|| sal 15k to 20k,Not mentioned,"Kolkata - 4 No. Bridge, Barasat, Hazra, Newtown + 1 more","15,000 - 25,000",Full Time Jobs,"Sales - Health, IT, FMCG, Others + 1 more","14 May 2024, 11:23 AM"
Sales Executive,Not mentioned,"Mumbai - Mankhurd, Asangaon, Ambernath, Dadar + 1 more","15,000 - 25,000",Full Time Jobs,Sales,"14 May 2024, 11:23 AM"
